"","season","team","Clutch_Shots_Attempted","Clutch_Shots_Made","Clutch_FG_Percentage"
"484",2017,"Omaha",5,2,40
"485",2017,"Oral Roberts",5,2,40
"486",2017,"Providence",5,2,40
"487",2017,"Western Illinois",5,2,40
"488",2018,"Delaware",5,2,40
"489",2018,"Drexel",5,2,40
"490",2018,"Florida State",10,4,40
"491",2018,"Jacksonville",5,2,40
"492",2018,"Lamar",5,2,40
"493",2018,"North Carolina",25,10,40
"494",2018,"Rice",5,2,40
"495",2018,"Savannah State",5,2,40
"496",2018,"Texas",5,2,40
"497",2018,"Utah",10,4,40
"498",2019,"Little Rock",5,2,40
"499",2019,"Mercer",5,2,40
"500",2019,"Michigan",10,4,40
"501",2019,"Southern Illinois",5,2,40
"502",2019,"Tulsa",5,2,40
"503",2019,"Wisconsin",10,4,40
"504",2020,"Colorado",10,4,40
"505",2020,"Davidson",30,12,40
"506",2020,"Dayton",15,6,40
"507",2020,"Florida Gulf Coast",5,2,40
"508",2020,"Lipscomb",10,4,40
"509",2020,"North Carolina",15,6,40
"510",2020,"Purdue Fort Wayne",10,4,40
"511",2020,"Syracuse",20,8,40
"512",2020,"USC",15,6,40
"513",2019,"Boston College",28,11,39.3
"514",2016,"USC",23,9,39.1
"515",2018,"Washington",23,9,39.1
"516",2016,"Arkansas",18,7,38.9
"517",2019,"Auburn",18,7,38.9
"518",2020,"Binghamton",18,7,38.9
"519",2020,"Kennesaw State",18,7,38.9
"520",2020,"West Virginia",18,7,38.9
"521",2016,"Kentucky",13,5,38.5
"522",2016,"Virginia Tech",13,5,38.5
"523",2017,"Missouri State",13,5,38.5
"524",2017,"Navy",13,5,38.5
"525",2018,"Arkansas",13,5,38.5
"526",2018,"Clemson",13,5,38.5
"527",2019,"Ohio State",13,5,38.5
"528",2019,"Pittsburgh",13,5,38.5
"529",2020,"Iowa State",13,5,38.5
"530",2020,"North Dakota",13,5,38.5
"531",2020,"Penn State",13,5,38.5
"532",2020,"UC Riverside",13,5,38.5
"533",2020,"Utah Valley",13,5,38.5
"534",2020,"Washington State",13,5,38.5
"535",2018,"Iowa",21,8,38.1
"536",2020,"Duke",21,8,38.1
"537",2020,"San Diego",21,8,38.1
"538",2020,"Lehigh",29,11,37.9
"539",2016,"George Mason",8,3,37.5
"540",2016,"LSU",16,6,37.5
"541",2016,"Western Illinois",8,3,37.5
"542",2017,"Elon",8,3,37.5
"543",2017,"IUPUI",8,3,37.5
"544",2017,"UC Riverside",8,3,37.5
"545",2018,"IUPUI",8,3,37.5
"546",2018,"Michigan",8,3,37.5
"547",2018,"Syracuse",16,6,37.5
"548",2019,"Florida State",16,6,37.5
"549",2019,"Harvard",8,3,37.5
"550",2019,"Northwestern",32,12,37.5
"551",2019,"San Diego",8,3,37.5
"552",2019,"Syracuse",16,6,37.5
"553",2020,"Alabama State",8,3,37.5
"554",2020,"George Mason",16,6,37.5
"555",2020,"Georgia",16,6,37.5
"556",2020,"Illinois State",32,12,37.5
"557",2020,"Northern Iowa",8,3,37.5
"558",2020,"Pittsburgh",8,3,37.5
"559",2020,"Texas State",24,9,37.5
"560",2020,"Mercer",35,13,37.1
"561",2020,"Tulane",35,13,37.1
"562",2016,"Georgia",19,7,36.8
"563",2018,"Indiana",19,7,36.8
"564",2018,"Vanderbilt",19,7,36.8
"565",2020,"Alabama A&M",19,7,36.8
"566",2020,"Fresno State",19,7,36.8
"567",2020,"Loyola Chicago",19,7,36.8
"568",2020,"Richmond",19,7,36.8
"569",2017,"Arizona",11,4,36.4
"570",2017,"Arizona State",22,8,36.4
"571",2017,"Miami",11,4,36.4
"572",2017,"Temple",11,4,36.4
"573",2017,"UCLA",11,4,36.4
"574",2018,"Oklahoma State",11,4,36.4
"575",2019,"Utah",11,4,36.4
"576",2020,"Columbia",11,4,36.4
"577",2020,"Minnesota",11,4,36.4
"578",2020,"NC State",11,4,36.4
"579",2020,"Alabama",25,9,36
"580",2020,"Saint Peter's",25,9,36
"581",2016,"Purdue",28,10,35.7
"582",2017,"Texas A&M",28,10,35.7
"583",2020,"Coastal Carolina",14,5,35.7
"584",2020,"Cornell",14,5,35.7
"585",2020,"Missouri",14,5,35.7
"586",2016,"Indiana",17,6,35.3
"587",2020,"California Baptist",17,6,35.3
"588",2020,"North Carolina Central",17,6,35.3
"589",2020,"SIU Edwardsville",17,6,35.3
"590",2017,"Nebraska",20,7,35
"591",2018,"Nebraska",20,7,35
"592",2019,"USC",20,7,35
"593",2020,"Army",20,7,35
"594",2020,"Montana",20,7,35
"595",2017,"Arkansas",23,8,34.8
"596",2020,"Duquesne",23,8,34.8
"597",2020,"Southern Miss",23,8,34.8
"598",2016,"UCLA",26,9,34.6
"599",2020,"San José State",29,10,34.5
"600",2020,"Wagner",38,13,34.2
"601",2015,"Green Bay",3,1,33.3
"602",2015,"Kentucky",3,1,33.3
"603",2015,"Northwestern",3,1,33.3
"604",2015,"Santa Clara",3,1,33.3
"605",2016,"Baylor",3,1,33.3
"606",2016,"DePaul",6,2,33.3
"607",2016,"Eastern Washington",6,2,33.3
"608",2016,"Florida Atlantic",3,1,33.3
"609",2016,"Florida International",3,1,33.3
"610",2016,"Gardner-Webb",3,1,33.3
"611",2016,"Missouri",6,2,33.3
"612",2016,"New Mexico",3,1,33.3
"613",2016,"Ohio State",21,7,33.3
"614",2016,"Rutgers",24,8,33.3
"615",2016,"SIU Edwardsville",6,2,33.3
"616",2016,"Saint Joseph's",3,1,33.3
"617",2016,"Sam Houston",3,1,33.3
"618",2016,"San Diego",3,1,33.3
"619",2016,"South Carolina",9,3,33.3
"620",2016,"Texas Tech",12,4,33.3
"621",2016,"UC Davis",3,1,33.3
"622",2016,"UCF",3,1,33.3
"623",2016,"UT Arlington",3,1,33.3
"624",2016,"UTSA",3,1,33.3
"625",2017,"Auburn",39,13,33.3
"626",2017,"BYU",6,2,33.3
"627",2017,"Creighton",3,1,33.3
"628",2017,"Florida Gulf Coast",3,1,33.3
"629",2017,"Idaho",6,2,33.3
"630",2017,"Kentucky",24,8,33.3
"631",2017,"Longwood",3,1,33.3
"632",2017,"Loyola Maryland",3,1,33.3
"633",2017,"Marquette",3,1,33.3
"634",2017,"New Mexico State",3,1,33.3
"635",2017,"North Texas",3,1,33.3
"636",2017,"Ole Miss",9,3,33.3
"637",2017,"Oregon",18,6,33.3
"638",2017,"San José State",3,1,33.3
"639",2017,"South Dakota",6,2,33.3
"640",2017,"St. John's",3,1,33.3
"641",2017,"Stanford",12,4,33.3
"642",2017,"Tulane",6,2,33.3
"643",2017,"UCF",9,3,33.3
"644",2018,"Arizona State",12,4,33.3
"645",2018,"Boston University",3,1,33.3
"646",2018,"Cal State Northridge",3,1,33.3
"647",2018,"Central Michigan",3,1,33.3
"648",2018,"Furman",6,2,33.3
"649",2018,"George Washington",6,2,33.3
"650",2018,"Georgetown",3,1,33.3
"651",2018,"Howard",3,1,33.3
"652",2018,"Idaho State",6,2,33.3
"653",2018,"Louisville",9,3,33.3
"654",2018,"Marshall",3,1,33.3
"655",2018,"Michigan State",27,9,33.3
"656",2018,"Middle Tennessee",9,3,33.3
"657",2018,"Missouri State",3,1,33.3
"658",2018,"North Florida",6,2,33.3
"659",2018,"Oklahoma",9,3,33.3
"660",2018,"SIU Edwardsville",3,1,33.3
"661",2018,"South Alabama",12,4,33.3
"662",2018,"South Carolina",6,2,33.3
"663",2018,"Southern Miss",6,2,33.3
"664",2018,"Southern Utah",3,1,33.3
"665",2018,"Toledo",9,3,33.3
"666",2018,"UMass",3,1,33.3
"667",2018,"UNC Greensboro",3,1,33.3
"668",2018,"UNLV",3,1,33.3
"669",2018,"Wichita State",3,1,33.3
"670",2018,"Yale",3,1,33.3
"671",2019,"Army",3,1,33.3
"672",2019,"Cincinnati",3,1,33.3
"673",2019,"East Carolina",3,1,33.3
"674",2019,"Eastern Washington",6,2,33.3
"675",2019,"Elon",3,1,33.3
"676",2019,"Fordham",3,1,33.3
"677",2019,"Fresno State",3,1,33.3
"678",2019,"George Mason",3,1,33.3
"679",2019,"Georgetown",3,1,33.3
"680",2019,"High Point",3,1,33.3
"681",2019,"Kansas City",3,1,33.3
"682",2019,"Lipscomb",3,1,33.3
"683",2019,"Memphis",3,1,33.3
"684",2019,"Michigan State",15,5,33.3
"685",2019,"Missouri",12,4,33.3
"686",2019,"NC State",9,3,33.3
"687",2019,"Niagara",3,1,33.3
"688",2019,"Prairie View A&M",6,2,33.3
"689",2019,"Rutgers",9,3,33.3
"690",2019,"Stephen F. Austin",3,1,33.3
"691",2019,"Toledo",3,1,33.3
"692",2019,"UC Santa Barbara",3,1,33.3
